"YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY","ARRIVAL_DELAY_OVERNIGHT_COUNT","DEPARTURE_DELAY_OVERNIGHT_COUNT","ELAPSED_TIME_OVERNIGHT_COUNT","AIR_TIME_OVERNIGHT_COUNT","TAXI_OUT_OVERNIGHT_COUNT","TAXI_IN_OVERNIGHT_COUNT","SCHEDULED_TIME_OVERNIGHT_COUNT"
"2015","1","1","4","AA",89,"N3KVAA","IAH","MIA",520,618,58,19,637,201,197,171,964,928,7,841,935,54,"",0,0,54,0,0,0,0,0,0,0,0,0
"2015","1","1","4","UA",247,"N462UA","PHX","IAH",600,751,111,31,822,208,220,178,1009,1120,11,928,1131,123,"",12,0,0,0,111,0,0,0,0,0,0,0
"2015","1","1","4","WN",2215,"N249WN","ABQ","HOU",600,607,7,29,636,180,195,163,759,919,3,900,922,22,"",15,0,7,0,0,0,0,0,0,0,0,0
"2015","1","1","4","OO",5208,"N791SK","IAH","MIA",742,758,16,16,814,199,200,180,964,1114,4,1101,1118,17,"",1,0,4,12,0,0,0,0,0,0,0,0
"2015","1","1","4","OO",5477,"N948SW","SBA","LAX",831,822,-9,7,829,54,79,28,89,857,44,925,941,16,"",16,0,0,0,0,0,0,0,0,0,0,0
"2015","1","1","4","AA",2249,"N4XKAA","DFW","IAH",930,1027,57,29,1056,65,85,42,224,1138,14,1035,1152,77,"",20,0,0,56,1,0,0,0,0,0,0,0
"2015","1","1","4","MQ",3200,"N8EGMQ","LBB","DFW",945,1234,169,17,1251,65,77,53,282,1344,7,1050,1351,181,"",12,0,104,65,0,0,0,0,0,0,0,0
"2015","1","1","4","B6",251,"N709JB","BOS","MCO",1019,1147,88,15,1202,200,211,180,1121,1502,16,1339,1518,99,"",11,0,15,73,0,0,0,0,0,0,0,0
"2015","1","1","4","WN",2027,"N609SW","SLC","LAX",1050,1106,16,30,1136,50,56,18,590,1154,8,1140,1202,22,"",6,0,11,5,0,0,0,0,0,0,0,0
"2015","1","1","4","WN",4995,"N497WN","TPA","BUF",1125,1124,-1,14,1138,155,181,140,1053,1358,27,1400,1425,25,"",25,0,0,0,0,0,0,0,0,0,0,0
"2015","1","1","4","WN",1817,"N650SW","MCO","IND",1230,1307,37,10,1317,145,145,130,829,1527,5,1455,1532,37,"",0,0,3,34,0,0,0,0,0,0,0,0
"2015","1","1","4","UA",1605,"N37427","MCO","ORD",1232,1414,102,13,1427,115,107,89,1005,1556,5,1427,1601,94,"",0,0,91,3,0,0,0,0,0,0,0,0
"2015","1","1","4","WN",573,"N390SW","LAX","DEN",1240,1301,21,14,1315,195,208,187,862,1622,7,1555,1629,34,"",13,0,13,8,0,0,0,0,0,0,0,0
"2015","1","1","4","NK",917,"N625NK","LGA","DFW",1245,1416,91,13,1429,193,190,170,1389,1719,7,1558,1726,88,"",88,0,0,0,0,0,0,0,0,0,0,0
"2015","1","1","4","DL",2586,"N915DL","MCO","JFK",1300,1337,37,11,1348,155,136,120,944,1548,5,1535,1553,18,"",0,0,7,11,0,0,0,0,0,0,0,0
"2015","1","1","4","US",544,"N582UW","PHX","DFW",1325,1337,12,17,1354,195,201,170,868,1644,14,1640,1658,18,"",6,0,7,5,0,0,0,0,0,0,0,0
"2015","1","1","4","F9",1245,"N912FR","DFW","DEN",1400,1507,67,10,1517,60,51,34,641,1551,7,1500,1558,58,"",43,0,10,5,0,0,0,0,0,0,0,0
"2015","1","1","4","AA",1424,"N3GJAA","DEN","MIA",1420,1440,20,26,1506,343,356,321,1709,2027,9,2003,2036,33,"",13,0,11,9,0,0,0,0,0,0,0,0
"2015","1","1","4","DL",676,"N699DL","STT","JFK",1430,1444,14,14,1458,197,203,178,1623,1756,11,1747,1807,20,"",6,0,14,0,0,0,0,0,0,0,0,0
"2015","1","1","4","DL",2543,"N137DL","ATL","DTW",1445,1529,44,16,1545,124,107,87,594,1712,4,1649,1716,27,"",0,0,27,0,0,0,0,0,0,0,0,0
"2015","1","1","4","US",2082,"N956UW","IAH","PHL",1459,1540,41,14,1554,249,238,220,1325,1934,4,1908,1938,30,"",0,0,30,0,0,0,0,0,0,0,0,0
"2015","1","1","4","WN",186,"N378SW","SAN","SMF",1505,1544,39,10,1554,90,91,76,480,1710,5,1635,1715,40,"",1,0,17,22,0,0,0,0,0,0,0,0
"2015","1","1","4","EV",4208,"N11187","IAH","BNA",1537,1738,121,14,1752,114,100,79,657,1911,7,1731,1918,107,"",0,0,0,107,0,0,0,0,0,0,0,0
"2015","1","1","4","WN",780,"N526SW","HOU","AUS",1540,1559,19,9,1608,50,46,33,148,1641,4,1630,1645,15,"",0,0,0,15,0,0,0,0,0,0,0,0
"2015","1","1","4","WN",653,"N969WN","DEN","BNA",1545,1617,32,12,1629,200,195,175,1014,1924,8,1905,1932,27,"",0,0,12,15,0,0,0,0,0,0,0,0
"2015","1","1","4","US",1719,"N110UW","CLT","FLL",1614,1645,31,14,1659,117,103,86,631,1825,3,1811,1828,17,"",0,0,14,3,0,0,0,0,0,0,0,0
"2015","1","1","4","UA",763,"N481UA","CLE","DEN",1641,1642,1,9,1651,93,112,91,1201,1822,12,1814,1834,20,"",20,0,0,0,0,0,0,0,0,0,0,0
"2015","1","1","4","OO",4822,"N613SK","SMF","LAX",1700,1724,24,11,1735,85,77,55,373,1830,11,1825,1841,16,"",0,0,0,16,0,0,0,0,0,0,0,0
"2015","1","1","4","OO",6199,"N776SK","CID","DEN",1704,1702,-2,12,1714,70,103,65,692,1819,26,1814,1845,31,"",31,0,0,0,0,0,0,0,0,0,0,0
"2015","1","1","4","MQ",3168,"N616MQ","PNS","DFW",1720,1747,27,9,1756,125,129,103,604,1939,17,1925,1956,31,"",4,0,0,11,16,0,0,0,0,0,0,0
"2015","1","1","4","AA",2275,"N4YMAA","DFW","SMF",1725,1833,68,25,1858,105,107,66,1431,2004,16,1910,2020,70,"",2,0,45,23,0,0,0,0,0,0,0,0
"2015","1","1","4","OO",4971,"N764SK","IAH","TUS",1740,1804,24,18,1822,100,91,69,936,1931,4,1920,1935,15,"",0,0,0,15,0,0,0,0,0,0,0,0
"2015","1","1","4","OO",6352,"N125SY","BOI","SFO",1741,1758,17,10,1808,44,48,33,522,1841,5,1825,1846,21,"",4,0,13,4,0,0,0,0,0,0,0,0
"2015","1","1","4","WN",1679,"N402WN","DEN","BDL",1750,1813,23,31,1844,330,327,292,1671,2336,4,2320,2340,20,"",0,0,20,0,0,0,0,0,0,0,0,0
"2015","1","1","4","UA",386,"N421UA","SAN","DEN",1759,1800,1,14,1814,201,217,188,853,2122,15,2120,2137,17,"",17,0,0,0,0,0,0,0,0,0,0,0
"2015","1","1","4","MQ",2774,"N918MQ","CLL","DFW",1825,2033,128,8,2041,60,53,33,164,2114,12,1925,2126,121,"",0,0,0,121,0,0,0,0,0,0,0,0
"2015","1","1","4","WN",1366,"N796SW","SNA","LAS",1835,1853,18,11,1904,65,62,44,226,1948,7,1940,1955,15,"",0,0,15,0,0,0,0,0,0,0,0,0
"2015","1","1","4","MQ",2984,"N907MQ","DFW","CHS",1840,1936,56,21,1957,203,201,175,987,2252,5,2203,2257,54,"",0,0,15,39,0,0,0,0,0,0,0,0
"2015","1","1","4","AA",21,"N795AA","JFK","LAX",1845,1851,6,29,1920,205,227,188,2475,2228,10,2210,2238,28,"",22,0,6,0,0,0,0,0,0,0,0,0
"2015","1","1","4","NK",719,"N508NK","DEN","LAS",1845,1839,-6,110,2029,52,131,17,628,2046,4,1937,2050,73,"",73,0,0,0,0,0,0,0,0,0,0,0
"2015","1","1","4","VX",357,"N846VA","BOS","SFO",1859,1850,-9,15,1905,230,262,239,2704,2304,8,2249,2312,23,"",0,0,0,0,23,0,0,0,0,0,0,0
"2015","1","1","4","AA",1681,"N494AA","DFW","AUS",1905,1945,40,14,1959,60,64,46,190,2045,4,2005,2049,44,"",4,0,0,40,0,0,0,0,0,0,0,0
